ANO,NOME,ESCOLA,CIDADE,ESTADO,PREMIO
2007,Yoshi Engracia Suzuki,Núcleo Dansh,Embuguaçu,SP,Melhor Bailarino
2007,,Grupo de Dança Millennium,Itajaí,SC,Melhor Grupo
2008,Airton Rodrigues,Soma 3,Curitiba,PR,Coreógrafo Revelação
2008,Douglas Ruthes Ramalho,Soma 3,Curitiba,PR,Melhor Bailarino
2008,Luiza Marques,Ballet Aracy de Almeida,São Paulo,SP,Troféu Revelação
2008,Érica Rosendo,Taipas Cia de Dança,Natal,RN,Melhor Bailarina
2008,,Companhia do Conservatório,Rio de Janeiro,RJ,Melhor Grupo
2009,Daniel Henrique Camargo Otto,Stúdio Art,Curitiba,PR,Melhor Bailarino
2009,Isabella Bombassei Pires,Conservatório Brasileiro de Dança,Rio de Janeiro,RJ,Indicação Lausanne
2009,Jhean Alex Filó,Ballet Aracy de Almeida,São Paulo,SP,Coreógrafo Revelação
2009,Pâmela de Souza Valim,Ballet Aracy de Almeida,São Paulo,SP,Melhor Bailarina
2009,,Companhia do Conservatório,Rio de Janeiro,RJ,Melhor Grupo
2010,Alexandre Nascimento,Cia Pavilhão D,São Paulo,SP,Melhor Bailarino
2010,Henry Camargo,Cia de Dança Kahal,Jundiai,SP,Coreógrafo Revelação
2010,Mayara Magri,Cia Petite Danse,Rio de Janeiro,RJ,Melhor Bailarina
2010,Paula Alves,Especial Academia de Ballet,,,Indicação YAGP Nova Iorque
2010,,Cia Pavilhão D,São Paulo,sp,Melhor Grupo
2011,Adhonay Soares da Silva,Ballet Juvenil do Centro Cultural Gustavo Ritter,Goiania,GO,Indicação YAGP Nova Iorque
2011,Daniel Roberto da Silva,Vórtice Escola de Dança,Uberlândia,MG,Indicação Lausanne
2011,Edson Santos,Companhia Independente de São Paulo,São Paulo,SP,Coreógrafo Revelação
2011,Felipe Rosa Cardoso,Maniacs Crew,Joinville,PR,Melhor Bailarino
2011,Felipe Rosa Carsoso,Maniacs Crew,Joinville,PR,Melhor Bailarino
2011,Paula Cristina Alves,Especial Academia de Ballet,São Paulo,SP,Melhor Bailarina
2011,Simone Malta,Centro Cultural Gustavo Ritter,Goiania,GO,Troféu Revelação
2011,,Escola de Dança Petite Danse,Rio de Janeiro,RJ,Melhor Grupo
2012,Edson Barbosa,Grupo Cultural de Dança Ilha,Rio de Janeiro,RJ,Melhor Bailarino
2012,Grupo Folclórico Polonês  - JUPEM,Grupo Folclórico Polonês  - JUPEM,Erechim,RS,Melhor Grupo
2012,Ivan Duarte,Conservatório Brasileiro de dança,Rio de Janeiro,RJ,Prêmio Revelação
2012,Ivan Sehnem Duarte,Conservatório Brasileiro de Dança,Rio de Janeiro,RJ,Prêmio Revelação
2012,Luana Domingues Espíndola,Instituto de Orientação Artística,Jundiaí,SP,Melhor Bailarina
2012,Luana Espíndola,Intituto de Orientação Artística,Jundiaí,SP,Melhor Bailarina
2012,Matheus Brusa,Cia. Matheus Brusa,Caxias do Sul,RS,Coreógrafo Revelação
2012,,GRUPO FOLCLÓRICO POLONÊS – JUPEM,Erechim,RS,Melhor Grupo
2013,Binho Pacheco,Grupo Especial,São Paulo,SP,Coreógrafo Revelação
2013,Diego José de Lima,Cia. Petite Danse,Rio de Janeiro,RJ,Melhor Bailarino
2013,Natália Colombo,Ballet Margô Brusa,Caxias do Sul,RS,Melhor Bailarina
2013,,Grupo Especial,São Paulo,SP,Melhor Grupo
2014,BIANCA TEIXEIRA,CIA. ADRIANA SOARES,São Paulo,SP,Melhor Bailarina
2014,Bianca Teixeira,Cia.  Adriana Soares,São Paulo,SP,Melhor Bailarina
2014,IVAN DUARTE,CIA. PETITE DANSE,Rio de Janeiro,RJ,Melhor Bailarino
2014,Ivan Duarte,Cia.Petite Danse,Rio de Janeiro,RJ,Melhor Bailarino
2014,LUANA RODRIGUES ESPÍNDOLA,INSTITUTO DE ORIENTAÇÃO ARTÍSTICA,Jundiaí,SP,Coreógrafo Revelação
2014,Luana Espíndola,Instituto de Orientação Artística,Jundiai,SP,Coreógrafo Revelação
2014,RENATA PACHECO,,Santos,SP,Prêmio Revelação
2014,Renata Pacheco,Balé da Cidade de Santos,Santos,SP,Prêmio Revelação
2014,,Cia de Ballet Adriana Assaf,São Paulo,SP,Melhor Grupo
2015,Breno Lucena,Grupo Especial da Escola Municipal de Bailado de Ourinhos,Ourinhos,SP,Prêmio Revelação
2015,Isabella Rodrigues,Raça Centro de Artes,São Paulo,SP,Melhor Bailarina
2015,Renata Pacheco,Balé da Cidade de Santos,Santos,SP,Coreógrafo Revelação
2015,Ricardo Pereira,Espaço Artístico Nocole Vanini,Curitiba,PR,Melhor Bailarino
2015,,Academia Elizabeth Vinader,Fernando de La Mora ,Paraguai,Melhor Grupo
2016,Angelina Blahobrazoff,Associação Parafolclórica Angelina          Blahobrazoff,Balneário Piçarras,SC,Prêmio Revelação
2016,Larissa Luna,Cia de Ballet Adriana Assaf,São Paulo,SP,Melhor Bailarina
2016,Maxmiler Junio,Companhia de Jazz Harmonia,Belo Horizonte,MG,Melhor Bailarino
2016,Não tivemos premiação,,,,Coreógrafo Revelação
2016,,Cep em Arte Basileu França,Goiânia,GO,Melhor Grupo
2017,Fran Manson,Cia.Sigma Sheng,São Paulo,SP,Melhor Bailarina
2017,Grupo Saikyou de Yosakoi,Grupo Saikyou de Yosakoi,Maringá,PR,Prêmio Revelação
2017,Henry Camargo,Kahal School,Judiaí,SP,Coreógrafo Revelação
2017,Marcos Silva,Cia.de Ballet Adriana Assaf,São Paulo,SP,Melhor Bailarino
2017,,Sheila's Ballet,Sorocaba,SP,Melhor Grupo
2018,Andréa Delgado,Figurinista - Harlequinade - Balé Jovem do Centro Cultural Gustav Ritter,Goiânia,GO,Pêmio Especial
2018,Gladstone Navarro,Grupo Cultura do Guetto,Belo Horizonte,MG,Melhor Coreógrafo
2018,Jeison Lopes,Centro de Artes Pavarini,São PAulo,SP,Melhor Bailarino
2018,Yasmin Matos,Cia. De Dança de Cubatão,Cubatão,SP,Melhor Bailarina
2018,,Cia. De Dança de Cubatão,Cubatão,SP,Melhor Grupo
2019,Ana Maria Campos,"Prêmio Especial – Remontagem 
Balé Clássico de Repertório - Balé Jovem do Centro Cultural Gustav Ritter",Goiânia,GO,Pêmio Especial
2019,João Vitor Percílio,Grupo Vórtice,Uberlândia,MG,Prêmio Daniel Camargo
2019,Monique Paes,Monique Paes Studio de Dança,Jacareí,SP,Melhor Coreógrafo
2019,Natalia Antunes,Grupo Roseli Rodrigues,São Paulo,SP,Melhor Bailarina
2019,Paulo Vitor Rodrigues,Cia de Ballet Adriana Assaf,São Paulo,SP,Melhor Bailarino
2019,,GandhiCats Project,Manaus,AM,Melhor Grupo
